tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Amazing Stories (2020),5449324,368120,1,0,5
Central Park,5449324,368121,0,0,0
Defending Jacob,5449324,368122,1,0,1
Little America,5449324,368123,1,0,2
Pachinko,5449324,368124,1,0,0
Servant,5449324,368126,1,0,10
Losing Earth,5449324,368128,1,0,0
"Love, Victor",5449324,368188,1,0,28
Living with Yourself,5449324,368523,1,0,8
Home for Christmas,5449324,368597,0,0,0
The Serpent,5449324,368813,0,0,0
"The Mind, Explained",5449324,368970,0,0,0
Into the Night,5449324,369076,1,0,1
,5449324,369097,1,0,1
Mental (2019),5449324,369209,1,0,20
Derby Girl,5449324,369212,0,0,0
Stalk,5449324,369213,1,0,30
